urun_id,urun_fiyat,ekran_ekran_boyutu,ekran_ekran_teknolojisi,ekran_ekran_çözünürlüğü_standardı,ekran_ekran_yenileme_hızı,batarya_batarya_kapasitesi_tipik,batarya_hızlı_şarj,batarya_hızlı_şarj_gücü_maks.,batarya_kablosuz_şarj,kamera_kamera_çözünürlüğü,kamera_optik_görüntü_sabitleyici_ois,kamera_video_kayıt_çözünürlüğü,kamera_video_fps_değeri,kamera_ön_kamera_çözünürlüğü,temel_donanim_cpu_çekirdeği,temel_donanim_cpu_üretim_teknolojisi,temel_donanim_antutu_puanı_v10,temel_donanim_bellek_ram,temel_donanim_dahili_depolama,tasarim_kalınlık,tasarim_ağırlık,tasarim_gövde_malzemesi_kapak,ağ_bağlantilari_5g,ağ_bağlantilari_4.5g_desteği,ağ_bağlantilari_4g,ağ_bağlantilari_2g,ağ_bağlantilari_3g,kablosuz_bağlantilar_bluetooth_versiyonu,kablosuz_bağlantilar_nfc,i̇şleti̇m_si̇stemi̇_i̇şletim_sistemi,özelli̇kler_suya_dayanıklılık
851,9.252703258712023,6.78,IPS LCD,FHD+,120.0,5000.0,Var,18.0,Yok,50.0,Yok,1440p (Quad HD) 2K,30.0,8.0,8.0,6.0,420.2,6.0,256.0,7.7,187.0,Plastik (Cam Görünümlü),Yok,Var,Var,Var,Var,5.0,Var,Android,Var
852,8.987196820661973,6.56,IPS LCD,HD+,90.0,5000.0,Var,15.0,Yok,50.0,Yok,1080p (Full HD),30.0,8.0,8.0,12.0,255.5,4.0,128.0,8.39,185.0,Plastik (Cam Görünümlü),Yok,Var,Var,Var,Var,5.0,Yok,Android,Var
853,9.615805480084347,6.59,IPS LCD,FHD+,60.0,4120.0,,,Yok,48.0,Yok,,,16.0,8.0,12.0,,6.0,128.0,8.5,,,Yok,Var,Var,Var,Var,5.0,,Android,
854,8.605204068738951,6.51,IPS LCD,HD+,60.0,4000.0,,,Yok,13.0,Yok,,,8.0,8.0,28.0,,4.0,128.0,9.3,187.0,,Yok,Var,Var,Var,Var,,,Android,Yok
856,8.987196820661973,6.74,IPS LCD,HD+,90.0,5000.0,Yok,,Yok,13.0,Yok,1080p (Full HD),30.0,5.0,8.0,12.0,250.2,4.0,128.0,7.99,186.0,,Yok,Var,Var,Var,Var,5.0,Yok,Android,Var
857,8.778171881033469,6.6,IPS LCD,FHD+,60.0,5000.0,Var,18.0,Yok,64.0,Yok,,,25.0,8.0,12.0,,8.0,128.0,8.5,188.0,,Yok,Var,Var,Var,Var,,Var,Android,Yok
858,9.15915233520675,6.8,IPS LCD,FHD+,60.0,5000.0,Var,18.0,Yok,64.0,Yok,1440p (Quad HD) 2K,30.0,16.0,8.0,12.0,,6.0,128.0,8.3,198.0,Plastik (Cam Görünümlü),Yok,Var,Var,Var,Var,5.0,Var,Android,Yok
859,8.804024902413179,6.52,IPS LCD,HD+,60.0,4500.0,Yok,,Yok,48.0,Yok,,,8.0,8.0,12.0,,6.0,128.0,8.5,,,Yok,Var,Var,Var,Var,5.0,Yok,Android,Yok
860,8.895492631451633,6.51,IPS LCD,HD+,60.0,5000.0,Yok,,Yok,13.0,Yok,1080p (Full HD),30.0,5.0,8.0,12.0,,4.0,128.0,8.19,183.0,Plastik,Yok,Var,Var,Var,Var,5.0,Yok,Android,Yok
861,9.296518068217235,6.5,PLS,HD+,60.0,5000.0,Yok,,Yok,13.0,Yok,1080p (Full HD),30.0,5.0,8.0,12.0,,4.0,128.0,9.1,188.0,Plastik,Yok,Var,Var,Var,Var,5.0,Yok,Android,Yok
862,8.697177017846599,6.53,,HD+,60.0,5000.0,Yok,,Yok,16.0,Yok,1080p (Full HD),30.0,8.0,4.0,12.0,,4.0,64.0,9.2,225.0,,Yok,Var,Var,Var,Var,5.0,Yok,Android,Yok
863,9.510519035757246,6.59,IPS LCD,FHD+,90.0,5000.0,Var,33.0,Yok,50.0,Yok,1080p (Full HD),30.0,16.0,8.0,6.0,308.0,6.0,128.0,8.4,191.0,Plastik (Cam Görünümlü),Yok,Var,Var,Var,Var,5.0,Var,Android,Var
865,8.728910106674817,6.53,IPS LCD,HD+,60.0,5000.0,Var,18.0,Yok,50.0,Yok,1080p (Full HD),30.0,16.0,8.0,12.0,249.9,4.0,128.0,8.9,197.0,Plastik,Yok,Var,Var,Var,Var,5.0,Yok,Android,Var
867,9.464905067965136,6.71,IPS LCD,HD+,60.0,6000.0,Var,18.0,Yok,13.0,Yok,1080p (Full HD),30.0,5.0,8.0,11.0,,4.0,64.0,9.18,204.0,Plastik,Yok,Var,Var,Var,Var,5.0,Yok,Android,Var
868,9.208839245849916,6.43,AMOLED,FHD+,90.0,5000.0,Var,33.0,Yok,50.0,Yok,1080p (Full HD),30.0,13.0,8.0,6.0,312.4,4.0,128.0,8.09,179.0,Plastik (Cam Görünümlü),Yok,Var,Var,Var,Var,5.0,Yok,Android,Var
870,8.955577146281511,6.5,IPS LCD,HD+,60.0,5000.0,Yok,,Yok,13.0,Yok,1080p (Full HD),30.0,5.0,8.0,12.0,248.0,4.0,64.0,9.1,200.0,Plastik,Yok,Var,Var,Var,Var,5.0,,Android,Yok
871,8.85366542803745,6.51,IPS LCD,HD+,60.0,5000.0,Yok,,Yok,13.0,Yok,1080p (Full HD),30.0,8.0,8.0,12.0,,3.0,32.0,8.28,179.0,Plastik,Yok,Var,Var,Var,Var,5.0,Yok,Android,Yok
875,10.186481779188624,6.7,Super AMOLED,FHD+,90.0,5000.0,Var,25.0,Yok,64.0,Var,2160p (Ultra HD) 4K,30.0,32.0,8.0,8.0,,8.0,256.0,8.4,203.0,Plastik (Cam Görünümlü),Yok,Var,Var,Var,Var,5.0,Var,Android,Var
876,9.305650551780507,6.8,IPS LCD,HD+,60.0,5000.0,Var,18.0,Yok,16.0,Yok,1440p (Quad HD) 2K,30.0,8.0,8.0,12.0,,4.0,128.0,9.2,,,Yok,Var,Var,Var,Var,,Yok,Android,Yok
878,9.798127036878302,6.55,IPS LCD,HD+,60.0,4000.0,Var,10.0,Yok,48.0,Yok,1080p (Full HD),30.0,13.0,8.0,12.0,,4.0,128.0,8.2,179.0,,Yok,Var,Var,Var,Var,4.2,Var,Android,Yok
880,10.384212873475592,6.47,AMOLED,FHD+,60.0,4500.0,Var,18.0,Yok,48.0,Yok,2160p (Ultra HD) 4K,30.0,16.0,8.0,11.0,,6.0,64.0,8.95,172.0,Plastik (Metalik Görünümlü),Yok,Var,Var,Var,Var,5.0,Var,Android,Yok
882,9.903487552536127,6.39,IPS LCD,HD+,60.0,4000.0,Yok,,Yok,48.0,Yok,1080p (Full HD),60.0,8.0,8.0,12.0,251.3,4.0,64.0,8.13,176.0,,Yok,Var,Var,Var,Var,5.0,Yok,Android,Yok
883,10.028212217019558,6.52,IPS LCD,HD+,60.0,4000.0,Var,15.0,Yok,48.0,Yok,1080p (Full HD),30.0,8.0,8.0,12.0,,4.0,128.0,8.39,166.0,,Yok,Var,Var,Var,Var,5.0,Var,Android,Yok
890,8.94105470980255,6.51,IPS LCD,HD+,60.0,5000.0,Yok,,Yok,48.0,,1080p (Full HD),30.0,24.0,8.0,12.0,274.9,6.0,256.0,9.0,,,Yok,Var,Var,Var,Var,5.0,,Android,Yok
891,9.393784631636688,6.78,AMOLED,FHD+,120.0,5000.0,Var,33.0,Yok,50.0,Yok,1440p (Quad HD) 2K,30.0,8.0,8.0,6.0,,8.0,256.0,7.4,185.0,,Yok,Var,Var,Var,Var,5.4,Var,Android,Var
892,9.036106025364846,6.74,IPS LCD,HD+,90.0,5000.0,Var,45.0,Yok,50.0,Yok,1080p (Full HD),30.0,8.0,8.0,12.0,249.9,6.0,128.0,7.74,191.0,Kauçuk/Plastik (Deri Görünümlü) | Plastik (Cam Görünümlü),Yok,Var,Var,Var,Var,5.0,Yok,Android,Var
893,9.104979856318357,6.52,IPS LCD,HD+,60.0,4500.0,Yok,,Yok,48.0,Yok,,,8.0,8.0,12.0,,6.0,128.0,8.5,,,Yok,Var,Var,Var,Var,5.0,,Android,Yok
894,9.154169940509115,6.59,IPS LCD,FHD+,60.0,4120.0,,,Yok,48.0,Yok,,,16.0,8.0,12.0,,6.0,128.0,8.5,,,Yok,Var,Var,Var,Var,5.0,,Android,
895,9.200391041122515,6.51,IPS LCD,HD+,90.0,5000.0,Yok,,Yok,50.0,Yok,,,5.0,8.0,12.0,,4.0,128.0,8.95,,,Yok,Var,Var,Var,Var,,Var,Android,Yok
896,9.761917075748054,6.67,OLED,FHD+,90.0,4500.0,Var,66.0,Yok,108.0,Yok,1080p (Full HD),30.0,32.0,8.0,6.0,207.7,8.0,256.0,7.39,186.0,,Yok,Var,Var,Var,Var,5.0,Var,Android,Yok
897,8.981052985901483,6.6,IPS LCD,HD+,90.0,5000.0,Var,18.0,Yok,50.0,Yok,1080p (Full HD),30.0,8.0,8.0,12.0,154.4,4.0,128.0,8.75,189.0,,Yok,Var,Var,Var,Var,5.0,,Android,Yok
898,8.915969311373605,6.5,IPS LCD,HD+,60.0,5000.0,Yok,,Yok,13.0,Yok,,,8.0,8.0,12.0,,4.0,128.0,,,Plastik,Yok,Var,Var,Var,Var,,Yok,Android,Yok
899,8.853808274977197,6.52,IPS LCD,HD+,60.0,5000.0,,,Yok,21.0,Yok,,,8.0,4.0,12.0,,6.0,128.0,8.5,196.0,,Yok,Var,Var,Var,Var,5.0,Yok,Android,Yok
902,9.047240097059312,6.56,IPS LCD,HD+,90.0,5000.0,Var,18.0,Yok,13.0,Yok,1080p (Full HD),30.0,8.0,8.0,12.0,,4.0,128.0,8.4,191.0,,Yok,Var,Var,Var,Var,,Yok,Android,Yok
903,9.03777229497833,6.5,IPS LCD,HD+,90.0,5000.0,Yok,,Yok,50.0,Yok,1080p (Full HD),30.0,8.0,8.0,12.0,,8.0,128.0,,190.0,,Yok,Var,Var,Var,Var,,,Android,Yok
904,8.977147747433937,6.5,IPS LCD,HD+,90.0,5000.0,Yok,,Yok,50.0,Yok,1080p (Full HD),30.0,8.0,8.0,12.0,,4.0,128.0,,190.0,,Yok,Var,Var,Var,Var,,,Android,Yok
905,9.400712766959849,6.43,,FHD+,60.0,4000.0,,,Yok,64.0,Yok,,,25.0,8.0,12.0,,8.0,256.0,7.8,,,Yok,Var,Var,Var,Var,,,Android,Yok
906,9.841558955913962,6.7,IPS LCD,FHD+,90.0,5000.0,Var,40.0,Yok,50.0,Yok,1080p (Full HD),30.0,8.0,8.0,6.0,,6.0,128.0,8.4,195.0,Plastik (Cam Görünümlü),Yok,Var,Var,Var,Var,5.0,Var,Android,Yok
908,9.472704636443673,6.5,IPS LCD,FHD+,90.0,5000.0,Var,18.0,Yok,48.0,Yok,1080p (Full HD),30.0,8.0,8.0,7.0,,4.0,128.0,8.92,190.0,Plastik (Cam Görünümlü),Var,Var,Var,Var,Var,5.1,Yok,Android,Yok
909,8.729324328065891,6.82,IPS LCD,HD+,60.0,6000.0,Yok,,Yok,13.0,Yok,1080p (Full HD),30.0,8.0,8.0,12.0,,4.0,128.0,8.9,215.6,Plastik,Yok,Var,Var,Var,Var,5.0,Yok,Android,Yok
911,8.753979258971599,6.52,IPS LCD,HD+,60.0,5000.0,Var,15.0,Yok,50.0,Yok,1080p (Full HD),30.0,8.0,8.0,12.0,,4.0,64.0,8.9,190.0,Plastik (Cam Görünümlü),Yok,Var,Var,Var,Var,5.0,Var,Android,Yok
913,8.987196820661973,6.39,IPS LCD,HD+,60.0,4000.0,Yok,,Yok,21.0,Yok,1080p (Full HD),30.0,8.0,8.0,12.0,,4.0,64.0,9.0,192.0,,Yok,Var,Var,Var,Var,4.2,Yok,Android,Yok
916,10.308952660644293,6.67,IPS LCD,FHD+,60.0,4300.0,Var,66.0,Yok,64.0,Yok,1080p (Full HD),30.0,16.0,8.0,11.0,,6.0,128.0,8.58,190.0,Polimer (Cam Görünümlü),Yok,Var,Var,Var,Var,5.0,Var,Android,Yok
917,9.210340371976184,6.52,IPS LCD,HD+,60.0,5000.0,Yok,,Yok,13.0,Yok,1080p (Full HD),30.0,8.0,8.0,12.0,,4.0,64.0,9.1,,,Yok,Var,Var,Var,Var,4.2,Yok,Android,Yok
918,9.615805480084347,6.5,IPS LCD,FHD+,90.0,5000.0,Var,18.0,Yok,48.0,Yok,1080p (Full HD),30.0,8.0,8.0,7.0,384.4,6.0,128.0,8.92,190.0,Plastik (Cam Görünümlü),Var,Var,Var,Var,Var,5.1,Var,Android,Yok
920,8.84262036961723,6.5,IPS LCD,HD+,60.0,5000.0,Yok,,Yok,8.0,Yok,1080p (Full HD),30.0,5.0,8.0,28.0,,2.0,32.0,8.9,190.0,Plastik,Yok,Var,Var,Var,Var,4.2,Yok,Android,Var
921,9.104979856318357,6.51,IPS LCD,HD+,60.0,5000.0,Var,18.0,Yok,13.0,Yok,1080p (Full HD),30.0,8.0,8.0,11.0,,4.0,128.0,8.41,192.3,Plastik,Yok,Var,Var,Var,Var,5.0,Yok,Android,Yok
922,9.264832345131866,6.43,AMOLED,FHD+,60.0,5000.0,Var,33.0,Yok,48.0,Yok,2160p (Ultra HD) 4K,30.0,13.0,8.0,11.0,325.1,4.0,64.0,8.29,178.8,Plastik (Cam Görünümlü),Yok,Var,Var,Var,Var,5.0,Yok,Android,Var
