urun_fiyat,urun_puan,ekran_ekran_boyutu,ekran_ekran_teknolojisi,ekran_ekran_cozunurlugu_standardi,ekran_ekran_yenileme_hizi,ekran_ekran_dayanikliligi,batarya_batarya_kapasitesi_tipik,batarya_hizli_sarj,batarya_hizli_sarj_gucu_maks,batarya_kablosuz_sarj,kamera_kamera_cozunurlugu,kamera_optik_goruntu_sabitleyici_ois,kamera_video_kayit_cozunurlugu,kamera_video_fps_degeri,kamera_on_kamera_cozunurlugu,temel_donanim_cpu_cekirdegi,temel_donanim_cpu_uretim_teknolojisi,temel_donanim_antutu_puani_v10,temel_donanim_bellek_ram,temel_donanim_dahili_depolama,tasarim_kalinlik,tasarim_agirlik,tasarim_govde_malzemesi_kapak,ag_baglantilari_5g,kablosuz_baglantilar_bluetooth_versiyonu,kablosuz_baglantilar_nfc,isletim_sistemi_isletim_sistemi,ozellikler_suya_dayaniklilik,ozellikler_suya_dayaniklilik_seviyesi,temel_donanim_yonga_seti_marka
16614.31,,6.57,AMOLED,FHD+,120,AGC Dragontrail DT-STAR D+,7000,Var,80.0,0,50,0.0,1080p (Full HD),60 fps,16.0,8 Çekirdek,6,,8.0,256,8.0,185.0,,Var,5.4,Var,Android,1.0,IPX9,MediaTek
77212.28,83.0,6.7,OLED,FHD+,120,Corning Ceramic Shield Glass,4441,Var,20.0,1,48,1.0,2160p (Ultra HD) 4K,60 fps,12.0,6 Çekirdek,3,1.740.400 Puan,8.0,256,8.25,221.0,Cam,Var,5.3,Var,iOS,1.0,IPX8,Apple
89377.69,96.0,6.78,AMOLED,FHD+,120,Vivo Armor Glass,6510,Var,90.0,1,50,1.0,4320p (Ultra HD) 8K,30 fps,50.0,8 Çekirdek,3,2.982.900 Puan,16.0,512,7.99,226.0,Cam,Var,5.4,Var,Android,1.0,IPX9,MediaTek
31162.0,,6.83,AMOLED,FHD+,120,Corning Gorilla Glass Victus 2,6500,Var,100.0,0,200,1.0,2160p (Ultra HD) 4K,30 fps,32.0,8 Çekirdek,4,,8.0,256,8.47,207.1,,Var,5.4,Var,Android,1.0,IPX9K,Qualcomm
74999.0,100.0,6.78,AMOLED,FHD+,165,Corning Gorilla Glass Victus 2,7300,Var,120.0,1,50,1.0,4320p (Ultra HD) 8K,30 fps,32.0,8 Çekirdek,3,2.790.200 Puan,16.0,512,8.2,215.0,,Var,6.0,Var,Android,1.0,IPX9K,Qualcomm
55599.0,92.0,6.8,OLED,FHD+,120,NanoCrystal Shield,5850,Var,100.0,1,50,1.0,2160p (Ultra HD) 4K,60 fps,50.0,8 Çekirdek,3,2.727.900 Puan,12.0,512,8.8,223.0,Cam,Var,5.4,Var,Android,1.0,IPX9,Qualcomm
128998.99,91.0,6.9,OLED,FHD+,120,Corning Ceramic Shield Glass (Gen2),4832,Var,40.0,1,48,1.0,2160p (Ultra HD) 4K,60 fps,18.0,6 Çekirdek,3,2.697.900 Puan,12.0,512,8.75,231.0,Cam,Var,6.0,Var,iOS,1.0,IPX8,Apple
26656.0,,6.83,AMOLED,FHD+,120,Corning Gorilla Glass Victus 2,6580,Var,45.0,0,200,1.0,2160p (Ultra HD) 4K,30 fps,20.0,8 Çekirdek,4,,8.0,256,7.96,210.0,,Var,5.4,Var,Android,1.0,IPX9K,MediaTek
74799.0,81.0,6.5,OLED,FHD+,120,Corning Ceramic Shield Glass (Gen2),3149,Var,20.0,1,48,1.0,2160p (Ultra HD) 4K,60 fps,18.0,6 Çekirdek,3,2.123.800 Puan,12.0,256,5.64,165.0,Cam,Var,6.0,Var,iOS,1.0,IPX8,Apple
47313.45,81.0,6.2,Dynamic AMOLED,FHD+,120,Corning Gorilla Glass Victus 2,4000,Var,25.0,1,50,1.0,4320p (Ultra HD) 8K,30 fps,12.0,8 Çekirdek,3,2.193.700 Puan,12.0,128,7.2,162.0,Cam,Var,5.4,Var,Android,1.0,IPX8,Qualcomm
